ID,Category,Tone,CardText
42,Shared Adventures (Mini),Straight Up Sex,"Both sit on the floor facing away from each other. Take turns naming one sexual act you want to do later. No response, just listing."
43,Intimate Dares & Play,Sweet & Sentimental,"Trace the outline of your partner's face with your eyes closed. Guess what expression they're making."
44,Shared Adventures (Mini),Low & Honest Time Travel,"Set a timer for 3 minutes. Without speaking, try to both stand up at the same time from sitting cross-legged. Laughing is allowed."
45,Deepening Understanding,Seductive & Bold,"If you could make me beg for anything tonight, what would it be? Describe the scene in two sentences."
46,Playful Time Travel,Straight Up Sex,"Imagine we're having sex five years from now. Whisper one new thing you hope we've added by then."
47,Playful Time Travel,Sweet & Sentimental,"If we could relive any ordinary Tuesday from last year, which one would it be? Describe one boring detail."
48,Intimate Dares & Play,Low & Honest Time Travel,"Put your hand on their thigh. Say: 'In 10 seconds, I'll move it two inches higher. Say wait if you need more time.' Count down silently."
49,Shared Adventures (Mini),Seductive & Bold,"Both stand up. You can only move when your partner says 'green.' Freeze on 'red.' Try to undress each other using only voice commands."
50,Intimate Dares & Play,Straight Up Sex,"Ask: 'Fingers or tongue first?' Whatever they say, do it for 15 seconds - then ask again."
51,Deepening Understanding,Sweet & Sentimental,"Tell me about a time this month when you felt lonely even though I was nearby. No fixing - just 'thank you' from me."
52,Deepening Understanding,Low & Honest Time Travel,"Think of a time you felt proud of yourself that you never told me about. Whisper the age you were. Partner says 'That still lives in you.'"
53,Intimate Dares & Play,Seductive & Bold,"Whisper 'I want to ruin you later' into their ear. Then walk away and don't touch them for 2 minutes."
54,Deepening Understanding,Straight Up Sex,"Ask: 'What position makes you feel the most wanted by me? Why that one?'"
55,Shared Adventures (Mini),Sweet & Sentimental,"Cook something simple together (toast, popcorn). You can only communicate by humming. First laugh loses."
56,Playful Time Travel,Low & Honest Time Travel,"Both close your eyes. Say 'I want future us to know that tonight we felt ______.' Fill in with one word."
57,Playful Time Travel,Seductive & Bold,"Imagine we're 80 years old. Whisper what you'll still want me to do to your body then. Then do it once, gently."
58,Shared Adventures (Mini),Straight Up Sex,"Put a condom on a banana or a cucumber together using only one hand each. Fastest time wins a 30-second naked cuddle."
59,Intimate Dares & Play,Sweet & Sentimental,"Give your partner a back rub using only the backs of your hands - no palms."
60,Shared Adventures (Mini),Low & Honest Time Travel,"Close your eyes. Your partner will put one of their hands on top of yours. Without peeking, draw what you feel on a piece of paper."
61,Deepening Understanding,Seductive & Bold,"What's a non-sexual thing I do that secretly turns you on? Be specific."
62,Playful Time Travel,Straight Up Sex,"Recall the first time you masturbated thinking of me. Whisper what I was wearing in that memory."
